"Name","Live Bytes","Live Objects"
"org.springframework.http.MediaType","25,824 B (0.1%)","807 (0.1%)"
"java.util.Locale","25,600 B (0.1%)","800 (0.1%)"
"sun.util.locale.BaseLocale","25,568 B (0.1%)","799 (0.1%)"
"char[][]","25,288 B (0.1%)","436 (0%)"
"java.lang.ref.SoftReference[]","25,024 B (0.1%)","368 (0%)"
"sun.util.locale.BaseLocale$Key","24,960 B (0.1%)","780 (0.1%)"
"java.lang.Package","24,736 B (0.1%)","773 (0.1%)"
"sun.reflect.generics.tree.SimpleClassTypeSignature","24,672 B (0.1%)","1,028 (0.1%)"
"java.lang.invoke.DirectMethodHandle$Constructor","24,600 B (0.1%)","615 (0.1%)"
"boolean[]","23,688 B (0.1%)","298 (0%)"
"java.lang.reflect.Field[]","23,504 B (0.1%)","593 (0.1%)"
"java.lang.invoke.DirectMethodHandle","22,592 B (0.1%)","706 (0.1%)"
"org.h2.value.Value[]","22,280 B (0.1%)","385 (0%)"
"java.util.HashSet","21,088 B (0.1%)","1,318 (0.1%)"
"jdk.internal.reflect.NativeConstructorAccessorImpl","20,784 B (0.1%)","866 (0.1%)"
"java.lang.Module","19,320 B (0%)","345 (0%)"
"sun.reflect.generics.tree.TypeArgument[]","19,040 B (0%)","1,028 (0.1%)"
"java.lang.module.ModuleDescriptor$Exports","18,048 B (0%)","752 (0.1%)"
"org.thymeleaf.engine.HTMLAttributeName","17,800 B (0%)","445 (0.1%)"
"org.springframework.core.ResolvableType[]","17,792 B (0%)","803 (0.1%)"
"java.util.LinkedHashMap$LinkedKeySet","17,616 B (0%)","1,101 (0.1%)"
"java.util.LinkedHashSet","17,552 B (0%)","1,097 (0.1%)"
"java.lang.CharSequence[]","16,664 B (0%)","559 (0.1%)"
"java.lang.Class$AnnotationData","16,632 B (0%)","693 (0.1%)"
"org.springframework.core.annotation.AnnotationTypeMapping","16,416 B (0%)","228 (0%)"
"java.util.LinkedHashMap$LinkedValues","16,048 B (0%)","1,003 (0.1%)"
"java.lang.management.MonitorInfo[]","16,000 B (0%)","1,000 (0.1%)"
"java.lang.management.LockInfo[]","16,000 B (0%)","1,000 (0.1%)"
"sun.reflect.generics.tree.ClassTypeSignature","15,712 B (0%)","982 (0.1%)"
"java.lang.reflect.Type[]","15,288 B (0%)","656 (0.1%)"
"org.springframework.core.MethodParameter","15,232 B (0%)","238 (0%)"
"java.security.ProtectionDomain","14,880 B (0%)","372 (0%)"
"java.lang.StringBuilder","14,784 B (0%)","616 (0.1%)"
"java.util.Hashtable$Entry","14,752 B (0%)","461 (0.1%)"
"java.security.CodeSource","14,440 B (0%)","361 (0%)"
"jdk.internal.reflect.DelegatingConstructorAccessorImpl","14,416 B (0%)","901 (0.1%)"
"java.lang.management.LockInfo","13,872 B (0%)","578 (0.1%)"
"jdk.internal.reflect.DelegatingClassLoader","13,840 B (0%)","173 (0%)"
"org.springframework.boot.context.properties.source.ConfigurationPropertyName$Elements","13,720 B (0%)","343 (0%)"
"java.io.ObjectStreamField","13,560 B (0%)","339 (0%)"
"java.util.jar.Attributes$Name","13,032 B (0%)","543 (0.1%)"
"java.util.ImmutableCollections$Set12","12,768 B (0%)","532 (0.1%)"
"java.lang.invoke.BoundMethodHandle$Species_L","12,608 B (0%)","394 (0%)"
"org.thymeleaf.util.ProcessorConfigurationUtils$ElementTagProcessorWrapper","12,440 B (0%)","311 (0%)"
"java.net.URL","12,288 B (0%)","192 (0%)"
"java.lang.invoke.LambdaForm$Name[]","12,088 B (0%)","245 (0%)"
"org.springframework.core.type.classreading.SimpleAnnotationMetadata","11,872 B (0%)","212 (0%)"
"java.util.WeakHashMap$Entry[]","11,792 B (0%)","131 (0%)"
"org.springframework.core.ResolvableType$DefaultVariableResolver","11,744 B (0%)","734 (0.1%)"
"java.lang.invoke.LambdaForm","11,520 B (0%)","240 (0%)"
"java.lang.String[][]","10,976 B (0%)","61 (0%)"
"org.springframework.boot.context.properties.source.ConfigurationPropertyName","10,976 B (0%)","343 (0%)"
"jdk.internal.math.FDBigInteger","10,912 B (0%)","341 (0%)"
"jdk.internal.ref.CleanerImpl$PhantomCleanableRef","10,752 B (0%)","224 (0%)"
"java.util.Collections$UnmodifiableSet","10,624 B (0%)","664 (0.1%)"
"java.util.Collections$UnmodifiableMap","10,560 B (0%)","330 (0%)"
"java.net.URI","10,480 B (0%)","131 (0%)"
"java.lang.annotation.Annotation[]","10,328 B (0%)","412 (0%)"
